player_id,g,ab,r,h,x2b,x3b,hr,rbi,sb,cs,bb,so,last_year
brownad01,447,1134,166,293,44,8,11,86,45,15,109,161,2006
brownde02,271,814,86,190,37,1,14,89,8,6,50,207,2007
brownem01,739,2249,296,581,112,12,59,326,52,14,197,468,2009
brownke01,490,495,20,64,10,0,2,29,0,0,19,187,2005
broxtjo01,674,5,0,0,0,0,0,0,0,0,2,2,2016
buchhcl01,207,13,0,2,0,0,0,0,0,0,1,5,2016
buckjo01,1090,3612,389,844,172,9,134,491,6,12,307,959,2014
buehrma01,518,125,4,9,2,0,1,3,0,0,2,58,2015
burbada01,511,194,10,26,1,0,3,12,0,0,10,84,2004
burkeja02,191,390,53,108,20,0,3,39,0,2,25,57,2010
burkejo03,446,540,22,50,6,0,0,18,0,0,26,226,2003
burksel01,2000,7232,1253,2107,402,63,352,1206,181,84,793,1340,2004
burneaj01,436,493,20,56,8,3,4,19,0,0,20,241,2015
burnese01,380,29,2,2,1,0,0,0,0,0,4,9,2016
burnije01,1694,5710,917,1447,298,29,315,981,74,58,739,1376,2006
burrepa01,1640,5503,767,1393,299,16,292,976,7,3,932,1564,2011
burrose01,528,1664,187,463,68,12,12,143,20,6,119,223,2012
bushda01,221,263,18,34,7,0,0,13,0,0,9,96,2013
butlebi03,1414,5105,592,1479,322,5,147,728,5,3,500,840,2016
byrdati01,479,13,1,2,1,0,0,0,0,0,0,4,2013
byrdma01,1573,5579,740,1534,311,39,159,710,56,31,382,1234,2016
byrdpa01,346,156,11,24,0,0,0,10,0,0,12,39,2009
byrneer01,963,3202,482,827,191,30,109,396,129,23,253,538,2010
